Date,aapl,cisco,ibm,amzn
8/20/14,95.51657984,22.38647221,173.054901,335.78
8/21/14,95.52607736,22.54954647,174.0835808,332.91
8/22/14,96.228894,22.33211412,173.3371052,331.59
8/25/14,96.43783948,22.37741253,174.0198573,334.02
8/26/14,95.81955079,22.47706902,175.6857724,341.83
8/27/14,96.99819329,22.46800934,175.0121237,343.18
8/28/14,97.11216355,22.51330774,174.7845396,340.02
8/29/14,97.3496016,22.64014328,175.0576405,339.04
9/2/14,98.10940337,22.54048679,174.3839917,342.38
9/3/14,93.96848373,22.68544169,174.7390228,339
9/4/14,93.18968692,22.56766583,173.5828959,345.95
9/5/14,93.9969763,22.64920296,174.0562707,346.38
9/8/14,93.41762745,22.60390456,173.0913144,342.34
9/9/14,93.06621913,22.52236743,172.954764,329.75
9/10/14,95.92497329,22.58578519,174.365785,331.33
9/11/14,96.33336674,22.81227722,174.5296455,330.52
9/12/14,96.55180975,22.79415786,174.1290976,331.19
9/15/14,96.52331718,22.70356105,174.6115758,323.89
9/16/14,95.79200798,22.84851595,175.6584623,327.76
9/17/14,96.47582957,22.83492643,175.5128086,324
9/18/14,96.67527753,22.84851595,176.3776279,325
9/19/14,95.8869832,22.83039659,176.6052119,331.32
9/22/14,95.98195842,22.62202392,175.7950128,324.5
9/23/14,97.48256691,22.37741253,174.4386119,323.63
9/24/14,96.63728745,22.6310836,175.0667438,328.21
9/25/14,92.95224887,22.23245763,172.0626346,321.93
9/26/14,95.68753524,22.64920296,173.0184875,323.21
9/29/14,95.07969382,22.75791914,172.6361463,321.82
9/30/14,95.68753524,22.97535148,172.8091102,322.44
10/1/14,94.19642426,22.84755851,170.3876161,317.46
10/2/14,94.88024586,22.87494272,170.1509287,318.41
10/3/14,94.61431524,23.10314446,171.7531203,322.74
10/6/14,94.61431524,22.82930237,172.0899447,322.2
10/7/14,93.78803081,22.48699975,169.0585253,316.98
10/8/14,95.73502285,22.50981993,172.3812522,322.7
10/9/14,95.94396833,22.08080065,169.704864,315.37
10/10/14,95.66854019,21.30491473,169.2587992,311.39
10/13/14,94.79476816,20.93066387,167.0648891,306.45
10/14/14,93.78803081,21.04476474,167.3197833,308.31
10/15/14,92.63883064,20.95804808,165.4535942,305.97
10/16/14,91.42314781,20.8302551,163.7148521,302.86
